,title,hits
358,🐶 유진이랑 겹치는거 몇개? ✨ .ᐟ.ᐟ #아이브 #유진 #유진이랑겹치는거몇개 #아이브유진,1233358
232,[2022 MMA] IVE(아이브) 'LOVE DIVE + After LIKE' @ 2022 Melon Music Awards (MMA 2022),1223101
376,아이브 장원영 (IVE WONYOUNG) 직캠 교차편집 'I AM (아이엠)',1211448
560,[안방1열 직캠4K] 아이브 장원영 'After LIKE' (IVE JANG WONYOUNG FanCam) @SBS Inkigayo 220828,1205852
192,[아이브 안유진] I AM 미리듣기 반응 (신곡 발매 전),1205667
138,아이브 응원봉 들고 IVE 아이브 'I AM' #shorts #뚜아뚜지,1203047
301,돌아온 레이와 6인버전 WAVE 무대하는 아이브,1200658
275,Cherish (Cherish),1196104
309,"[아이브 이서] ""인사"" (조기교육의 중요성) feat. 리즈",1195516
548,IVE(아이브)-I AM Dance Cover 안무 #shorts,1181874
342,아카라카 아이브 등장 10초 전 💙🩵 #IVE #아이브 #연세대학교 #아카라카 #Shorts,1172120
556,IVE 아이브 'Kitsch' MV 반응,1171652
258,아이브 안유진 iam연습 3일차 #아이브 #ive #iam #안유진 #연습,1165302
163,✨️아이브✨️멤버중 숏단발 머리가 가장 잘 어울리는 멤버는? #아이브 #iam,1164337
5,[4K] IVE (아이브) I AM (아이엠) 교차편집 (Stage Mix),1153212
347,[아이브] 중독성 강한 일본 컴백곡 'WAVE'🎧1분 뮤비 #shorts,1137994
316,이시끼 춤좀 늘었다고 이제 센터에서 춰버리네? #아이브 #ive #iam,1128706
401,IVE(아이브) - 'LOVE DIVE' COVER by 새송｜SAESONG,1100012
446,Mine (Mine),1085186
98,엄마가 아이브 포카 사기포장 영상을 봤을때 생기는 일..?(마지막 반전),1073474
295,재산 264억 $$ [아이브 리즈],1071075
213,[TJ노래방] Kitsch - IVE(아이브) / TJ Karaoke,1054734
326,"아이브 (IVE) 2022 MMA (LOVE DIVE + After LIKE) Stage Reaction (G I-DLE, STAYC, NewJeans, ENHYPEN, 임영웅)",1050107
375,IVE 아이브 The 32nd 서울가요대상 DANCE PRACTICE,1047890
125,[4K/최초공개] IVE (아이브) 골든디스크 대상 퍼포먼스 - ELEVEN + LOVE DIVE l @ K-909 230506 방송,1040687
203,화음 폼 ㅁㅊㄷ #iam #ive #아이브,1012179
206,이빨을 빼면 벌어지는일..(ft.아이브 앨범깡),1012158
101,아이브(IVE) - Kitsch 교차편집(stage mix),998868
243,IVE 아이브 'After LIKE' MV Reaction,990605
270,"[2022 MBC 가요대제전] 아이브 - 러브 다이브 (IVE - LOVE DIVE (Rock ver.)), MBC 221231 방송",983865
392,🐹 레이랑 겹치는거 몇개? ✨ .ᐟ.ᐟ #아이브 #레이 #레이랑겹치는거몇개 #아이브레이,972752
131,작사가님 앞에서 가사 틀리는 리즈ㅋㅋㅋㅋㅋ [아이브 리즈 장원영 안유진] ♬Shine With Me,970869
156,국민 걸그룹 아이브 처음 본 외국인 찐반응 [아이브 - Kitsch],958097
439,내 장점이 뭔지 알아 바로 ”연세대“인 거야💙🦅 #IVE #아이브 #AfterLIKE #애프터라이크 #연세대학교 #아카라카 #Shorts,956251
221,I AM - IVE [뮤직뱅크/Music Bank] | KBS 230414 방송,944243
430,33시간째 안잔 사람의 아이브앨범깡,918952
207,억울한 엔딩 (리즈 속이기ㅋㅋㅋㅋ) ♬ 아이브 - I AM feat. 리즈피스(진짜 좋아해 포즈),901185
45,🔥IVE 아이브 'I AM' 여키 3옥 솔🔥채널 최초 도전 (feat. 혜다),898020
224,골저스 뜻 모르는 아이브 (♬ I AM Gorgeous ver.),862602
474,다이브가 아쉬워 할까봐 가져온...🎁 Blue Blood💙🩸 (YONSEI EDITION) #IVE #아이브 #BlueBlood #Shorts,860835
341,Heroine (Heroine),837771
424,아무 말 대잔치 아이브 #Shorts,837473
186,IVE(아이브) - I AM (piano tutorial) #shorts,831873
378,아이브 - 'Kitsch' 레진공예 / IVE Resinart / 키치 쉐이커,831312
225,12년생이 추는 IVE [아이브] - I AM [아이엠] #shorts Covered by 민채(MinChae)｜클레버TV,823790
288,"[리무진서비스] EP.58 아이브 이서 | IVE LEESEO | Blue Blood, Bungee, Star, Make Up",818358
291,아이브 멤버들 닮은 존똑 캐릭터 미니브🐶 #shorts,816771
35,I AM - IVE 아이브 뮤직 우당탕 비디오 촬영기 | 고인물 아이돌 연습생,815879
253,아이브 (IVE) - INTRO + LOVE DIVE + After LIKE [2022 KBS 가요대축제] | KBS 221216 방송,813949
